carat,cut,color,clarity,table,price
0.54,Ideal,H,VVS1,54.0,1774
0.32,Ideal,G,VS2,57.0,720
0.42,Ideal,J,VS1,53.0,636
0.43,Ideal,G,VS1,56.0,943
0.8,Very Good,H,VS2,57.0,2808
0.54,Ideal,F,SI2,56.0,1240
1.57,Ideal,G,SI1,55.0,8752
0.56,Ideal,G,VVS2,56.0,1976
2.2,Premium,H,SI2,59.0,11147
0.55,Premium,D,SI1,58.0,1692
1.01,Ideal,J,SI1,56.0,3818
0.41,Premium,G,VS2,57.0,1061
0.31,Ideal,D,VVS2,55.0,1074
0.53,Ideal,J,VS1,55.2,1218
1.1,Very Good,H,SI1,58.0,4276
0.35,Ideal,E,VVS1,56.0,905
0.39,Very Good,G,SI1,57.0,684
0.59,Very Good,I,SI1,59.0,1109
0.31,Very Good,F,VS2,56.0,802
0.3,Premium,F,VS2,58.0,605
0.31,Very Good,H,VVS2,58.0,625
0.77,Ideal,E,SI2,57.0,2689
0.35,Very Good,G,VS1,56.0,706
0.56,Ideal,D,VS2,56.0,1963
0.71,Ideal,G,SI2,57.0,2194
0.52,Ideal,F,SI2,55.0,1191
0.41,Ideal,G,VVS2,56.0,1007
1.02,Premium,F,SI2,60.0,4541
0.91,Very Good,E,VS1,60.0,5057
0.31,Premium,I,VS2,58.0,435
0.71,Very Good,F,SI2,56.0,2098
1.2,Good,J,SI2,54.4,4659
0.73,Premium,D,VS1,58.0,3557
0.33,Ideal,H,IF,56.0,838
0.55,Ideal,J,SI1,55.0,982
1.14,Very Good,H,SI1,58.0,4890
0.58,Very Good,F,VVS1,57.0,2636
0.41,Good,E,VVS1,55.0,1298
0.9,Good,E,SI1,56.0,3510
0.43,Ideal,J,SI1,54.0,708
0.43,Very Good,G,VS1,57.0,943
0.65,Ideal,G,IF,57.0,3536
1.2,Premium,G,SI1,58.0,6026
0.53,Ideal,E,SI1,55.0,1585
0.5,Very Good,E,VS2,58.0,1624
1.01,Premium,F,VS2,57.5,7277
0.36,Ideal,H,VS2,55.0,729
1.13,Ideal,G,VS2,56.0,6891
2.01,Very Good,I,SI2,63.0,10009
0.57,Premium,G,VVS2,60.0,2059
1.16,Very Good,J,VS2,56.0,4323
0.83,Ideal,F,SI1,57.0,3010
1.51,Very Good,J,VVS2,58.0,8770
0.5,Fair,F,I1,66.0,827
1.21,Ideal,H,VS2,55.0,5882
1.21,Very Good,G,SI2,61.0,4887
0.7,Premium,G,SI1,58.0,2016
1.0,Ideal,H,SI1,56.0,4788
0.33,Ideal,D,VVS2,56.0,1021
0.41,Ideal,G,VS1,57.0,899
0.83,Ideal,D,SI1,56.0,3990
0.4,Premium,D,SI1,58.0,990
0.32,Ideal,F,IF,57.0,943
1.33,Premium,I,SI2,59.0,5094
0.38,Very Good,D,VVS2,62.0,1200
0.6,Premium,D,SI1,58.0,1799
0.31,Ideal,D,VS2,56.0,942
0.71,Ideal,F,SI2,55.0,2365
1.01,Good,H,SI1,60.0,4836
1.53,Good,I,SI1,57.0,8095
0.75,Premium,E,VS2,57.0,3024
0.71,Good,E,SI2,58.0,1783
0.96,Ideal,F,VS1,56.0,5767
0.25,Ideal,F,VVS1,57.0,575
0.54,Very Good,F,VS1,59.0,1600
0.33,Good,F,VS2,61.0,643
1.22,Premium,I,SI2,61.0,4735
0.57,Premium,G,VS1,58.0,1746
0.7,Very Good,E,VS2,60.0,2845
0.51,Very Good,D,VS1,57.0,1756
1.13,Ideal,G,IF,57.0,10228
1.2,Very Good,G,VVS1,55.0,9968
0.7,Ideal,F,SI1,55.0,2409
0.53,Ideal,H,VS2,54.0,1353
0.42,Ideal,G,VVS2,56.0,1031
0.3,Ideal,G,VS2,55.0,545
0.51,Very Good,E,SI1,63.0,1340
0.33,Very Good,H,SI2,57.0,534
0.71,Good,I,SI1,63.0,1788
0.31,Ideal,F,VVS2,56.0,977
0.78,Very Good,I,VS1,55.0,2694
1.0,Ideal,J,VS2,54.0,4539
0.32,Ideal,F,VS2,55.0,602
0.66,Ideal,H,VS2,56.0,2178
0.58,Premium,F,SI1,57.0,1634
0.42,Very Good,D,VS1,60.0,1066
1.2,Very Good,J,SI2,60.0,4580
1.71,Ideal,I,VS2,56.0,11455
0.53,Ideal,G,VS1,56.0,1813
1.52,Premium,G,VS2,61.0,12738
0.7,Ideal,F,VVS2,56.0,4439
1.04,Ideal,H,SI2,55.0,4368
1.13,Ideal,D,SI1,56.0,7066
0.71,Very Good,H,VVS1,57.0,2938
0.72,Premium,D,SI1,59.0,2782
2.03,Ideal,H,SI2,55.0,16642
0.31,Ideal,E,VS2,56.0,872
0.3,Very Good,H,SI1,63.0,393
0.72,Ideal,G,SI2,54.0,2295
0.71,Ideal,E,VS2,57.0,2776
0.8,Very Good,E,VS1,60.0,4118
0.73,Ideal,D,SI2,56.0,2707
0.28,Ideal,H,VS2,54.0,467
0.47,Ideal,H,SI2,53.0,782
0.4,Very Good,F,VVS2,57.0,963
1.03,Premium,D,SI2,54.0,4764
0.31,Good,H,SI1,54.0,521
1.76,Ideal,I,SI2,55.0,9714
1.21,Ideal,E,VS1,57.0,10351
0.5,Premium,G,VVS2,60.0,1838
1.1,Ideal,F,VVS2,56.0,10487
0.3,Ideal,E,VS2,57.0,844
0.72,Good,D,SI2,57.0,2254
0.72,Good,I,VS1,63.0,2451
0.47,Premium,D,SI1,61.0,987
0.71,Ideal,F,VS1,56.0,3710
0.4,Ideal,I,VS1,59.0,736
0.73,Ideal,E,SI2,57.0,2155
1.01,Premium,H,SI1,58.0,3417
1.01,Very Good,E,SI1,57.0,5085
0.44,Premium,G,SI1,60.0,990
0.31,Premium,I,SI1,59.0,523
1.1,Very Good,H,SI1,57.0,5521
0.7,Very Good,F,VVS1,60.0,3536
0.7,Very Good,E,VS2,57.0,2553
0.31,Very Good,I,VS2,60.0,435
0.24,Very Good,D,VS2,59.0,419
0.32,Good,E,SI1,56.0,524
1.51,Very Good,G,VS1,57.0,13348
0.5,Premium,D,SI1,58.0,1654
1.02,Very Good,H,SI1,58.0,4932
1.53,Ideal,H,VVS2,57.0,13629
1.13,Very Good,G,SI1,58.0,5526
0.9,Premium,E,SI1,61.0,3625
0.53,Very Good,E,VS1,59.0,1844
1.82,Fair,H,I1,58.0,5993
0.34,Ideal,G,VS2,56.0,765
0.6,Premium,D,SI2,57.0,1196
0.32,Ideal,D,VS2,54.0,972
0.72,Good,J,VS1,54.0,1959
0.96,Fair,E,SI2,63.0,2815
0.31,Premium,G,VS1,59.0,695
1.03,Ideal,G,SI1,57.0,5037
0.91,Very Good,G,SI1,59.0,3763
0.32,Ideal,G,SI1,56.0,612
0.9,Very Good,G,VS2,60.0,4210
1.01,Very Good,E,VS2,56.0,5777
1.0,Good,E,SI1,65.0,3696
1.01,Premium,H,SI1,60.0,4642
0.53,Ideal,H,VS2,56.0,1412
0.45,Premium,I,SI1,58.0,941
1.01,Ideal,H,SI2,59.0,4078
0.8,Ideal,E,SI2,57.0,3251
1.76,Ideal,F,SI2,55.0,9659
0.78,Very Good,D,VS2,58.0,3534
0.31,Ideal,E,VS1,55.0,871
0.51,Ideal,E,VS2,57.0,1662
2.04,Very Good,I,SI1,58.0,15412
0.72,Good,H,SI2,58.0,1674
0.32,Ideal,D,VVS1,55.0,1067
0.41,Very Good,I,VVS1,58.0,847
1.5,Good,G,VS1,59.0,11524
1.22,Ideal,F,VS2,57.0,8783
1.51,Premium,D,SI1,60.0,11760
0.72,Very Good,D,VS2,58.0,3075
0.44,Good,D,VS2,64.0,1238
1.03,Ideal,F,SI1,56.0,6183
0.32,Good,E,SI1,56.0,524
1.2,Ideal,G,SI2,56.0,5385
1.02,Ideal,E,VS1,57.0,8244
0.31,Ideal,G,VVS1,54.0,789
0.37,Ideal,F,VVS1,56.0,997
0.82,Premium,I,VS2,59.0,2716
1.02,Very Good,F,SI2,57.0,4373
2.64,Ideal,H,SI2,55.0,17407
0.34,Premium,H,VS1,58.0,765
1.09,Ideal,H,VS2,57.0,6419
1.06,Premium,E,SI1,56.0,4689
0.3,Ideal,G,IF,57.0,863
0.23,Very Good,E,VVS2,62.0,485
0.35,Ideal,D,VS1,57.0,862
0.7,Premium,E,VS1,59.0,2837
1.02,Very Good,F,VVS2,56.0,9205
1.07,Ideal,I,SI1,56.1,5002
1.23,Premium,G,SI2,62.0,4408
0.3,Premium,H,VVS2,58.0,776
0.53,Ideal,F,VVS2,56.0,2030
0.4,Ideal,H,SI2,55.0,625
0.56,Very Good,G,SI1,56.0,1408
2.03,Premium,H,SI2,58.0,16075
0.81,Ideal,G,VS1,56.0,3923
0.34,Good,H,VS2,56.0,537
0.3,Premium,G,VS1,60.0,776
0.4,Premium,H,VS1,58.5,793
0.71,Very Good,E,VS2,59.0,2922
0.31,Ideal,I,VS2,54.0,452
0.41,Premium,F,VVS1,58.0,1356
0.31,Ideal,F,VS2,54.0,802
2.23,Premium,J,VS2,58.0,14867
1.03,Ideal,F,VS1,56.0,7137
1.27,Ideal,F,VVS2,54.0,12576
1.08,Ideal,H,SI2,57.0,3629
1.3,Premium,F,SI1,59.0,8164
2.41,Premium,J,VS1,60.0,15320
0.7,Very Good,F,SI1,63.0,2058
0.72,Ideal,H,VVS1,55.0,2958
0.26,Ideal,E,VVS1,56.0,814
0.4,Premium,G,VVS1,58.0,1200
0.81,Ideal,I,SI1,57.0,2323
2.0,Fair,F,I1,57.0,7258
0.91,Very Good,H,VS2,58.0,4430
1.79,Good,G,SI2,59.0,9122
0.59,Very Good,F,VS1,59.0,2034
0.43,Very Good,E,SI1,57.0,948
0.34,Very Good,G,VVS2,59.0,740
1.35,Fair,J,SI1,56.0,5524
0.56,Ideal,D,SI1,55.0,1708
1.33,Fair,F,I1,56.0,4698
1.01,Premium,G,SI1,59.0,4605
0.83,Premium,D,SI1,60.0,3347
0.9,Good,D,SI2,62.0,3798
0.36,Premium,F,VVS2,56.0,945
0.91,Premium,G,VS1,54.0,4510
0.72,Ideal,F,VS2,57.0,2607
0.6,Very Good,D,SI1,56.0,1841
0.71,Ideal,E,VS2,56.0,2347
0.52,Very Good,E,VS1,61.0,1840
0.32,Very Good,F,VS2,56.0,642
1.03,Very Good,F,SI2,56.0,4449
0.9,Very Good,E,VS2,63.0,4134
0.38,Ideal,D,VS1,54.0,983
1.02,Good,D,SI2,58.0,4459
0.8,Ideal,H,VS1,58.0,3111
0.58,Ideal,H,SI1,57.0,1421
1.07,Premium,F,SI2,57.0,4573
1.12,Ideal,G,SI1,55.0,5551
1.26,Ideal,H,VVS2,56.0,8941
1.0,Premium,F,SI1,61.0,4022
0.5,Premium,E,SI1,59.0,1415
0.32,Premium,H,SI1,59.0,576
2.01,Premium,E,SI2,54.0,16064
0.35,Very Good,H,VS2,56.0,552
0.5,Premium,F,VS1,59.0,1715
0.4,Very Good,F,SI1,59.0,737
0.5,Very Good,F,VVS2,56.0,2003
0.3,Premium,H,VVS1,58.0,878
0.52,Ideal,G,VVS1,55.0,2065
0.51,Very Good,E,SI1,57.0,1357
0.43,Premium,D,VS2,59.0,1129
1.01,Premium,F,VS2,58.0,6165
0.72,Ideal,G,VVS2,56.0,3295
0.3,Premium,F,VS2,58.0,776
0.36,Very Good,I,VS1,56.0,729
1.76,Ideal,I,SI2,55.0,9540
1.02,Ideal,G,SI1,55.0,5016
0.37,Very Good,E,VVS2,58.0,843
0.31,Ideal,G,VVS2,57.0,671
0.31,Ideal,F,VS2,57.0,802
0.63,Ideal,E,VS1,55.0,2565
0.91,Very Good,J,VS2,55.0,3299
1.11,Ideal,E,VVS2,55.0,11074
0.42,Premium,F,VVS2,59.0,1142
1.02,Very Good,G,SI2,61.0,4291
0.3,Ideal,H,IF,56.0,764
1.22,Ideal,F,VS1,56.0,9581
0.7,Very Good,D,SI1,57.0,2726
0.31,Good,I,VS1,57.0,489
0.71,Very Good,G,VS1,56.0,2630
0.34,Ideal,H,VS2,57.0,689
0.73,Very Good,E,VS1,58.0,3226
1.12,Premium,G,VS2,53.0,6774
2.11,Ideal,H,SI2,56.0,12226
0.7,Very Good,D,VS2,60.0,3668
0.8,Very Good,H,SI1,57.0,3005
1.01,Premium,F,SI1,59.0,4969
0.88,Ideal,I,SI1,56.0,3264
0.43,Premium,D,SI2,58.0,919
1.04,Premium,G,SI2,62.0,4158
1.21,Premium,G,VS2,59.0,8402
0.32,Premium,G,VS2,59.0,720
1.02,Very Good,H,SI1,61.0,4476
0.39,Ideal,G,IF,53.7,1189
1.09,Premium,G,VS1,59.0,6951
0.72,Ideal,F,SI1,57.0,2514
1.02,Premium,G,VVS1,58.0,7797
0.73,Ideal,G,SI1,56.0,2659
1.11,Ideal,G,VVS2,56.0,9734
1.5,Ideal,E,SI1,59.0,12265
0.42,Ideal,F,VVS2,57.0,1221
0.3,Ideal,G,VS1,54.0,605
1.28,Very Good,H,VS1,55.0,8645
0.32,Ideal,J,VS2,55.3,413
1.01,Good,E,VVS2,58.0,8752
0.31,Ideal,F,IF,54.0,914
1.06,Ideal,G,VS1,55.0,8093
1.07,Very Good,H,VS1,56.0,5661
0.3,Ideal,H,SI1,53.1,475
0.7,Ideal,G,SI1,56.0,2478
1.33,Premium,I,VS1,58.0,6963
0.56,Very Good,F,SI1,56.0,1436
0.32,Ideal,G,IF,57.0,918
1.01,Ideal,H,SI1,56.0,5062
0.7,Premium,D,VS2,58.0,2415
1.01,Fair,E,SI1,55.0,4853
1.23,Ideal,I,SI2,55.0,4773
1.3,Very Good,I,VS2,56.0,7087
0.51,Very Good,D,SI1,63.0,1437
0.57,Very Good,E,VS1,57.0,2008
0.5,Very Good,H,VS2,55.0,1209
0.32,Premium,G,IF,60.0,891
0.9,Very Good,H,VS1,59.0,4309
1.7,Premium,I,VS2,59.0,11519
0.51,Ideal,E,SI2,56.0,1170
0.42,Ideal,D,SI1,55.0,970
1.21,Premium,G,VS1,58.0,8305
0.3,Ideal,G,SI1,54.0,477
0.71,Very Good,E,VS1,57.0,3192
1.52,Fair,F,SI2,64.0,8938
0.7,Very Good,F,VS2,58.0,2437
0.31,Premium,E,SI1,60.0,544
1.02,Good,J,SI2,58.0,3298
1.2,Very Good,J,SI2,62.0,3880
1.11,Very Good,G,VS2,58.0,6311
0.31,Premium,H,SI1,61.0,558
1.37,Good,I,VS2,58.0,5449
1.01,Good,E,SI2,58.0,3737
1.01,Premium,H,SI1,60.0,4439
0.32,Ideal,I,VS1,56.0,505
0.31,Ideal,F,VS2,55.0,802
1.01,Ideal,J,VS2,55.0,4425
0.7,Very Good,F,SI1,58.0,2230
0.7,Good,F,VS1,62.0,2759
1.22,Ideal,H,VVS2,56.0,8014
0.41,Ideal,H,VS2,55.0,1163
0.72,Ideal,F,SI1,57.0,2440
1.0,Very Good,D,VS2,61.0,6190
0.41,Good,E,VVS1,57.0,1002
0.3,Good,H,VS2,54.0,473
1.03,Very Good,G,VS2,57.0,6036
1.2,Ideal,I,VS1,59.0,6380
0.23,Very Good,E,VVS1,57.0,583
0.5,Ideal,G,VS1,54.0,1569
2.01,Fair,H,SI2,66.0,13587
0.38,Ideal,D,VS1,55.0,1140
1.72,Premium,H,VS2,60.0,11455
0.5,Good,F,VS1,62.0,1390
0.31,Premium,G,VS2,57.0,698
1.5,Premium,H,SI2,62.0,7187
1.51,Ideal,I,SI1,56.0,10232
0.32,Ideal,H,SI2,54.0,420
